PLAYER,NUMBER,POSITION,COUNTRY,AGE,HEIGHT,GAMES,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS
Shane Larkin,0,Guard,USA,29,182,35,1003,528,81,144,43,3
Rodrigue Beaubois,1,Guard,France,33,190,38,814,401,69,68,20,13
Chris Singleton,2,Forward,USA,32,206,41,904,249,155,26,30,21
Yigitcan Saybir,3,Forward,Turkey,22,203,2,5,2,1,0,0,0
DoÄŸus Balbay,4,Guard,Turkey,32,185,29,195,41,18,16,13,9
Tolga Gecim,8,Forward,Turkey,25,206,6,33,4,5,2,0,0
Erten Gazi,11,Guard,Turkey,24,190,9,50,14,6,5,2,0
Dzanan Musa,13,Forward,Bosnia and Herzegovina,22,206,4,12,0,2,1,1,0
Sertac Sanli,15,Center,Turkey,30,212,34,484,266,75,22,13,17
Adrien Moerman,18,Forward,France,33,202,41,841,263,189,45,24,6
Bugrahan Tuncer,19,Guard,Turkey,28,193,16,91,36,18,18,4,0
Tibor Pleiss,21,Center,Germany,32,221,24,289,163,64,12,5,7
Vasilije Micic,22,Guard,Serbia,27,196,40,1200,668,104,195,48,1
James Anderson,23,Forward,USA,32,198,41,622,172,113,31,18,6
Bryant Dunston,42,Center,USA,35,203,36,758,284,142,37,32,31
Krunoslav Simon,44,Guard,Croatia,36,197,35,932,362,108,114,19,10
