Player,Club,Number,Position,Country,Age,Height,Games,Minutes,2FG,3FG,FT,Points,Rebounds,Assists,Steals,Turnovers,Blocks(Fv),Blocks(Ag),Fouls(Cm),Fouls(Rv),PIR,PIR(Avg)
Adam Hanga,FC Barcelona,8,Forward,Hungary,31,200,41,652,48/101,24/70,22/34,190,90,69,32,48,11,5,77,47,198,4.8
Adrien Moerman,Anadolu Efes,18,Forward,France,32,202,41,841,72/119,34/99,17/30,263,189,45,24,39,6,7,60,51,347,8.5
Alex Abrines,FC Barcelona,21,Forward,Spain,27,198,39,730,22/50,55/130,28/31,237,72,26,22,13,8,7,96,39,182,4.7
Alexander Khomenko,CSKA Moscow,4,Guard,Russia,21,192,16,100,9/17,1/7,11/13,32,4,4,0,8,0,1,24,24,15,0.9
Andrea Cinciarini,AX Armani Exchange Milan,20,Guard,Italy,34,193,8,19,0/0,0/2,0/0,0,2,2,0,2,0,0,5,2,-3,-0.4
Andrei Lopatin,CSKA Moscow,28,Forward,Russia,22,208,2,7,0/0,0/1,0/0,0,2,0,0,2,0,0,0,0,-1,-0.5
Artem Pustovyi,FC Barcelona,14,Center,Ukraine,28,218,15,119,16/23,0/0,10/15,42,18,3,5,12,8,1,23,13,41,2.7
Brandon Davis,FC Barcelona,0,Center,USA,29,208,35,749,147/260,6/14,107/142,419,156,51,25,72,15,15,100,164,487,13.9
Bryant Dunston,Anadolu Efes,42,Center,USA,34,203,36,758,110/189,1/2,61/100,284,142,37,32,22,31,8,88,100,389,10.8
Bugrahan Tuncer,Anadolu Efes,19,Guard,Turkey,27,193,16,91,6/14,8/23,0/0,36,18,18,4,7,0,2,14,4,34,2.1
Chris Singleton,Anadolu Efes,2,Forward,USA,31,206,41,904,37/76,38/96,61/75,249,155,26,30,24,21,3,92,90,341,8.3
Cory Higgins,FC Barcelona,22,Guard,USA,31,195,39,1038,134/267,39/105,127/136,512,87,94,41,71,10,22,65,159,537,13.8
Daniel Hackett,CSKA Moscow,10,Guard,Italy,33,196,29,700,45/101,43/95,56/66,275,79,67,30,35,1,5,84,105,315,10.9
Darrun Hilliard,CSKA Moscow,6,Guard,USA,27,198,37,719,64/145,49/150,48/56,323,74,41,24,39,7,15,66,58,217,5.9
Davide Moretti,AX Armani Exchange Milan,3,Guard,Italy,22,189,3,6,0/0,0/1,2/2,2,0,0,0,1,0,0,1,3,2,0.7
Dogus Balbay,Anadolu Efes,4,Guard,Turkey,31,185,29,195,12/14,4/14,5/8,41,18,16,13,9,4,0,34,11,45,1.6
Dzanan Musa,Anadolu Efes,13,Forward,Bosnia&Herzegovina,21,206,4,12,0/0,0/2,0/0,0,2,1,1,2,0,0,2,0,-2,-0.5
Erten Gazi,Anadolu Efes,11,Guard,Turkey,23,190,9,50,2/4,3/8,1/2,14,6,5,2,0,0,1,11,5,12,1.3
Ibou Badji,FC Barcelona,17,Center,Senegal,18,215,3,6,0/1,0/0,0/0,0,0,0,0,0,0,0,1,0,-2,-0.7
Iffe Lundberg,CSKA Moscow,1,Guard,Denmark,26,193,15,302,42/62,24/55,14/24,170,38,33,14,14,0,2,36,32,174,11.6
Ivan Ukhov,CSKA Moscow,7,Guard,Russia,25,193,26,238,6/21,15/39,1/4,58,20,20,7,10,0,3,45,13,18,0.7
James Anderson,Anadolu Efes,23,Forward,USA,31,198,41,622,34/63,23/51,35/49,172,113,31,18,16,6,3,55,39,234,5.7
Janis Strelnieks,CSKA Moscow,13,Guard,Latvia,31,191,26,360,23/50,20/48,9/14,115,22,41,8,14,0,1,45,16,82,3.2
Jeff Brooks,AX Armani Exchange Milan,32,Forward,Italy,31,203,32,403,14/33,10/26,9/13,67,70,22,7,8,12,3,35,10,103,3.2
Jeremy Evans,AX Armani Exchange Milan,40,Center,USA,33,206,11,114,12/18,1/4,4/8,31,34,0,3,9,2,0,15,8,41,3.7
Joel Bolomboy,CSKA Moscow,3,Forward,Russia,26,204,25,424,48/77,4/16,27/35,135,94,8,15,19,12,7,39,31,181,7.2
Johannes Voigtmann,CSKA Moscow,17,Forward,Germany,28,211,37,726,58/95,51/110,44/51,313,183,48,18,39,11,3,59,53,422,11.4
Kaleb Tarczewski,AX Armani Exchange Milan,15,Center,USA,27,213,39,523,62/107,0/0,31/47,155,115,13,12,32,15,4,92,57,178,4.6
Kevin Punter,AX Armani Exchange Milan,0,Guard,USA,27,193,36,890,105/207,65/166,110/123,515,59,50,29,40,2,20,75,114,418,11.6
Krunoslav Simon,Anadolu Efes,44,Guard,Croatia,35,197,35,932,83/149,52/129,40/52,362,108,114,19,41,10,4,44,59,428,12.2
Kyle Hines,AX Armani Exchange Milan,42,Center,USA,34,198,40,974,132/239,0/1,45/69,309,177,78,31,53,30,26,100,87,401,10
Kyle Kuric,FC Barcelona,24,Forward,Slovakia,31,193,39,735,43/78,68/121,49/51,339,62,19,15,23,2,1,58,56,321,8.2
Leandro Bolmaro,FC Barcelona,9,Guard,Italy,20,198,30,295,21/50,8/21,22/28,88,33,39,8,28,2,2,42,29,79,2.6
Leo Westermann,FC Barcelona,2,Guard,France,28,198,15,166,5/11,8/26,7/9,41,21,27,5,9,0,1,26,11,43,2.9
Luigi Datome,AX Armani Exchange Milan,70,Forward,Italy,33,203,37,611,44/96,46/90,35/39,261,102,29,7,19,3,4,70,29,238,6.4
Malcolm Delaney,AX Armani Exchange Milan,23,Guard,USA,31,191,32,798,59/140,52/134,96/118,370,84,111,29,65,0,11,89,124,368,11.5
Michael Eric,CSKA Moscow,50,Center,Nigeria,32,210,14,174,34/51,0/0,7/10,75,46,3,8,12,7,4,24,10,89,6.4
Michael Roll,AX Armani Exchange Milan,10,Guard,USA,33,198,36,516,27/58,30/69,8/9,152,45,43,16,16,2,3,60,20,128,3.6
Mike James,CSKA Moscow,5,Guard,USA,30,185,27,842,97/190,70/198,118/145,522,85,155,26,78,4,21,43,130,532,19.7
Nick Calathes,FC Barcelona,99,Guard,Greece,31,196,41,1031,97/202,34/104,24/45,320,135,266,38,105,8,12,95,64,423,10.3
Nikita Kurbanov,CSKA Moscow,41,Forward,Russia,34,202,39,861,31/50,23/68,28/39,159,101,34,24,29,13,4,75,41,189,4.8
Nikola Milutinov,CSKA Moscow,33,Center,Serbia,26,213,20,471,77/115,1/2,40/57,197,171,16,8,13,9,6,27,58,357,17.9
Nikola Mirotic,FC Barcelona,33,Forward,Spain,29,208,33,854,131/221,45/109,117/138,514,196,33,38,53,15,6,63,145,644,19.5
Pau Gasol,FC Barcelona,16,Center,Spain,40,216,7,69,9/21,3/6,5/7,32,17,3,3,3,6,0,6,7,42,6
Paul Biligha,AX Armani Exchange Milan,19,Center,Italy,30,200,7,24,1/4,0/0,4/4,6,9,0,1,3,2,0,2,2,12,1.7
Pierre Oriola,FC Barcelona,18,Center,Spain,28,208,38,571,78/137,5/10,33/56,204,135,30,7,45,12,11,79,50,216,5.7
Riccardo Moraschini,AX Armani Exchange Milan,9,Guard,Italy,29,194,24,265,12/29,11/21,18/28,75,39,26,9,15,0,2,28,22,89,3.7
Rodrigue Beaubois,Anadolu Efes,1,Guard,France,32,190,38,814,74/139,71/144,40/44,401,69,68,20,44,13,9,73,53,356,9.4
Rolands Smits,FC Barcelona,10,Forward,Latvia,25,207,41,654,67/102,19/48,33/43,224,132,24,15,39,8,9,89,52,244,6
Semen Antonov,CSKA Moscow,11,Forward,Russia,31,202,32,273,11/27,11/24,3/6,58,33,10,7,7,3,2,43,7,34,1.1
Sergi Martinez,FC Barcelona,23,Forward,Spain,21,202,26,262,18/33,3/14,4/7,49,54,10,5,17,1,2,37,13,47,1.8
Sergio Rodriguez,AX Armani Exchange Milan,13,Guard,Spain,34,191,37,738,63/105,62/175,48/53,360,73,165,30,70,2,9,64,72,399,10.8
Sertac Sanli,Anadolu Efes,15,Center,Turkey,29,212,34,484,84/127,15/43,53/65,266,75,22,13,20,17,13,76,47,248,7.3
Shane Larkin,Anadolu Efes,0,Guard,USA,28,182,35,1003,71/138,87/222,125/145,528,81,144,43,74,3,19,40,152,596,17
Shavon Shields,AX Armani Exchange Milan,31,Forward,Denmark,26,201,36,964,126/227,54/125,83/99,497,145,50,39,46,8,8,65,108,540,15
Thomas Huertel,FC Barcelona,13,Guard,France,31,189,12,163,9/26,4/19,5/6,35,14,29,5,21,0,2,11,7,23,1.9
Tibor Pleiss,Anadolu Efes,21,Center,Germany,31,221,24,289,59/98,7/17,24/27,163,64,12,5,18,7,5,22,25,179,7.5
Tolga Gecim,Anadolu Efes,8,Forward,Turkey,24,206,6,33,2/7,0/2,0/0,4,5,2,0,4,0,1,2,2,-1,-0.2
Tornike Shengelia,CSKA Moscow,23,Forward,Georgia,29,206,37,922,122/240,29/92,84/129,415,183,84,43,79,9,18,101,139,449,12.1
Vasilije Micic,Anadolu Efes,22,Guard,Serbia,26,196,40,1200,148/263,75/193,147/170,668,104,195,48,123,1,28,106,198,701,17.5
Victor Claver,FC Barcelona,30,Forward,Spain,32,208,15,190,10/12,3/15,5/7,34,28,4,6,6,2,0,21,10,41,2.7
Vladimir Micov,AX Armani Exchange Milan,5,Forward,Serbia,35,201,30,573,50/100,22/48,18/24,184,47,30,19,26,2,3,50,40,161,5.4
Will Clyburn,CSKA Moscow,21,Forward,USA,30,201,31,815,92/177,47/129,109/137,434,117,48,24,49,6,12,60,130,443,14.3
Yigitcan Saybir,Anadolu Efes,3,Forward,Turkey,21,203,2,5,1/2,0/1,0/0,2,1,0,0,0,0,0,0,0,1,0.5
Zach Leday,AX Armani Exchange Milan,2,Center,USA,26,202,36,889,90/185,34/73,78/85,360,163,23,20,32,12,8,79,121,439,12.2
